BusinessName,FHRSID,BusinessType,RatingDate,RatingValue,AddressLine1,AddressLine2,AddressLine3,Hygiene,Structural,ConfidenceInManagement,Longitude,Latitude
Addies Thai Restaurant & Bar,334288,Restaurant/Cafe/Canteen,2014-12-10,5,BASEMENT GROUND AND FIRST FLOOR PART,121 Earl's Court Road,"LONDON, SW5 9RL",0,5,5,-0.19477600000000,51.49382800000000
Admiral Codrington,334806,Restaurant/Cafe/Canteen,2015-08-19,5,17 Mossop Street,LONDON,SW3 2LY,0,5,5,-0.16600700000000,51.49382200000000
Adoratrices Convent,334906,Hotel/bed & breakfast/guest house,2016-01-26,4,38-39 Kensington Square,LONDON,W8 5HP,5,5,10,-0.19043000000000,51.50098200000000
Aglio E Olio,334874,Restaurant/Cafe/Canteen,2016-02-01,4,194 Fulham Road,LONDON,,5,5,10,-0.18106300000000,51.48619800000000
Akesson's,744678,Retailers - other,2015-02-11,4,15B Blenheim Crescent,LONDON,W11 2EE,5,10,5,-0.20544200000000,51.51568100000000
Al Dar II,334467,Restaurant/Cafe/Canteen,2016-01-13,4,74 King's Road,LONDON,SW3 4TZ,5,10,5,,
Al Hana Kitchen,897651,Other catering premises,,AwaitingInspection,,,,,,,,
AL Nahrein,333747,Retailers - other,2016-06-17,3,17A Hogarth Place,LONDON,SW5 0QT,10,5,10,-0.19298200000000,51.49291000000000
Al Safi,333890,Retailers - other,2016-01-25,2,294 Kensington High Street,LONDON,W14 8NZ,15,15,10,-0.20200400000000,51.49830000000000
Al.Baraka Cafe,334223,Restaurant/Cafe/Canteen,2016-01-29,3,330 Portobello Road,LONDON,W10 5RU,10,10,10,-0.21003100000000,51.52141700000000
Aladino's Restaurant,782451,Restaurant/Cafe/Canteen,2015-09-02,5,38C Kensington Church Street,LONDON,W8 4BX,5,5,5,-0.19280500000000,51.50431000000000
Alberts,695897,Restaurant/Cafe/Canteen,2014-09-24,5,92B Old Brompton Road,LONDON,SW7 3LQ,5,5,5,-0.17727000000000,51.49281100000000
Alerma,736315,Restaurant/Cafe/Canteen,2015-03-31,5,232-236 Brompton Road,LONDON,SW3 2BB,5,0,5,-0.16973200000000,51.49613700000000
Alexa's Bakery,507880,Other catering premises,2015-11-05,5,,,,0,0,0,,
Alice in the Kitchen,904409,Other catering premises,,AwaitingInspection,,,,,,,,
Allen Hall College,334897,School/college/university,2014-11-11,5,Allen Hall,28-32 Beaufort Street,"LONDON, SW3 5AA",5,5,0,-0.17451600000000,51.48385600000000
Alounak,463325,Restaurant/Cafe/Canteen,2016-05-23,1,10 Russell Gardens,LONDON,W14 8EZ,10,15,20,-0.21122800000000,51.50005100000000
Amathus,668403,Retailers - other,2014-11-10,Exempt,Ground Floor,203 Brompton Road,"LONDON, SW3 1LA",,,,-0.16682500000000,51.49750400000000
Ambassador Hotel,334744,Hotel/bed & breakfast/guest house,2016-01-07,4,Hotel,16 Collingham Road,"LONDON, SW5 0LX",10,0,10,-0.18802500000000,51.49367000000000
American Food Store,334649,Retailers - other,2016-06-14,4,2 Ladbroke Grove,LONDON,W11 3BG,5,10,5,-0.20316600000000,51.50831800000000
Amir Foods,605934,Retailers - other,2015-06-22,4,5 World's End Place,LONDON,,5,10,5,-0.17988300000000,51.48147600000000
Amorino,771154,Restaurant/Cafe/Canteen,2015-09-07,5,67A King's Road,LONDON,SW3 4NT,5,0,5,-0.16362100000000,51.48940500000000
Amsterdam Hotel,334629,Hotel/bed & breakfast/guest house,2016-08-11,4,7 Trebovir Road,LONDON,SW5 9LS,0,10,10,-0.19454600000000,51.49235000000000
Anar Persian kitchen,837791,Restaurant/Cafe/Canteen,2015-12-10,4,349 Portobello Road,LONDON,W10 5SA,5,10,5,-0.21053800000000,51.52134300000000
Ancillary Food & Beverage to Exisiting Gym,783618,Restaurant/Cafe/Canteen,2015-08-26,5,45 Phillimore Walk,LONDON,W8 7RZ,5,5,5,-0.19844200000000,51.49949500000000
ANDREAS,568942,Retailers - other,2013-09-02,5,4 Cale Street,LONDON,SW3 3QU,5,5,5,-0.16689600000000,51.49070700000000
Andrews Garage,333606,Retailers - other,2014-09-16,4,22 St Mark's Road,LONDON,W11 1UF,5,10,5,-0.21292500000000,51.51635300000000
Anglesea Arms,334311,Pub/bar/nightclub,2016-01-06,5,Public House,15 Selwood Terrace,"Onslow Gardens, LONDON, SW7 3QN",5,5,0,-0.17715600000000,51.49026500000000
Ann Summers,333955,Retailers - other,2015-03-13,Exempt,104 Kensington High Street,LONDON,W8 4SG,,,,-0.19226000000000,51.50171100000000
Antelope,334532,Pub/bar/nightclub,2015-11-26,5,Public House,22-24 Eaton Terrace,"LONDON,",0,5,0,-0.15586500000000,51.49419400000000
Apadana,803749,Restaurant/Cafe/Canteen,2015-12-02,5,351 Kensington High Street,LONDON,W8 6NW,5,5,0,-0.20306100000000,51.49743500000000
Apero Restaurant and Bar,489730,Restaurant/Cafe/Canteen,2016-05-04,5,Ampersand Hotel,2-10 Harrington Road,"LONDON, SW7 3ER",5,5,0,-0.17534900000000,51.49437200000000
Apostrophe,333679,Restaurant/Cafe/Canteen,2016-06-02,3,138 Notting Hill Gate,LONDON,W11 3QG,10,10,5,-0.19983000000000,51.50886000000000
April's Cafe at Boutique 1,896235,Restaurant/Cafe/Canteen,2016-08-22,5,127-128 Sloane Street,LONDON,,5,0,0,-0.15854300000000,51.49387600000000
Aquika Seasoning,738976,Retailers - other,2014-09-16,Exempt,,,,,,,,
Arancina,333628,Restaurant/Cafe/Canteen,2015-05-19,4,Ground Floor,19 Pembridge Road,"LONDON, W11 3HG",5,10,5,-0.19760800000000,51.51040800000000
Arcadia Restaurant,333989,Restaurant/Cafe/Canteen,2015-06-09,3,Basement And Ground Floor Brasenose House,35 Kensington High Street,"LONDON, W8 5EB",10,10,10,-0.18907800000000,51.50201300000000
Arco Bars Ltd,333494,Restaurant/Cafe/Canteen,2015-07-27,5,7 Pavilion Road,LONDON,,5,5,5,-0.16047600000000,51.50026500000000
Argan Tree Cafe,803750,Restaurant/Cafe/Canteen,2016-03-07,2,130 Bramley Road,LONDON,W10 6TJ,0,15,10,-0.21719700000000,51.51581600000000
Ariadne's Nectar Bar,333402,Pub/bar/nightclub,2016-04-27,2,Public House The British Volunteer,274 Latimer Road,"LONDON, W10 6QW",10,15,10,-0.22461000000000,51.51865300000000
Ark Brunel Academy,853755,School/college/university,2016-03-03,5,Middle Row Primary School,Middle Row,LONDON,5,0,0,,
Aroma Italia,815011,Restaurant/Cafe/Canteen,2015-10-05,5,Ground Floor,24 Bute Street,"LONDON, SW7 3EX",0,5,5,-0.17618100000000,51.49373800000000
Art Muay,333440,Retailers - other,2015-07-29,3,8 Hogarth Road,LONDON,SW5 0PT,10,10,10,-0.19253900000000,51.49283100000000
Artisan Bistro,850664,Restaurant/Cafe/Canteen,2016-04-19,3,Ground Floor,14 Hollywood Road,"LONDON,",10,10,10,-0.18461400000000,51.48599200000000
Ashbee's Wine Bar,334723,Pub/bar/nightclub,2016-03-29,4,22-24 Hogarth Place,LONDON,SW5 0QY,5,5,10,-0.19255300000000,51.49320900000000
Ashburn Hotel,333798,Hotel/bed & breakfast/guest house,2015-11-27,5,111 Cromwell Road,LONDON,SW7 4DP,5,5,5,-0.18630800000000,51.49447100000000
Ashburnham Primary School,333477,School/college/university,2015-11-16,5,17 Blantyre Street,LONDON,,5,5,5,-0.17792400000000,51.48183200000000
ASK,334910,Restaurant/Cafe/Canteen,2015-04-20,5,Units 23 To 24 Gloucester Road Arcade,128 Gloucester Road,"LONDON, SW7 4SF",5,5,0,-0.18355500000000,51.49450900000000
Aster House Hotel,334488,Hotel/bed & breakfast/guest house,2016-02-01,5,Astor House Hotel,3 Sumner Place,"LONDON, SW7 3EE",0,0,0,-0.17584400000000,51.49279700000000
Astrum Education Limited,734289,School/college/university,2015-01-06,5,Princess Beatrice House,192 Finborough Road,"LONDON,",5,0,5,-0.19244000000000,51.48840500000000
Aubaine,333557,Restaurant/Cafe/Canteen,2016-01-27,5,260-262 Brompton Road,LONDON,SW3 2AS,5,5,5,-0.16921000000000,51.49406100000000
Aubaine,605933,Restaurant/Cafe/Canteen,2015-10-26,5,37-39 Kensington High Street,LONDON,W8 5ED,5,5,5,-0.18927700000000,51.50207900000000
Aux Merveilleux De Fred,615443,Takeaway/sandwich shop,2016-02-09,4,88 Old Brompton Road,LONDON,SW7 3LQ,5,0,10,-0.17727000000000,51.49281100000000
Aux Saveurs Du Liban,879052,Restaurant/Cafe/Canteen,2016-06-06,1,262 Kensington High Street,LONDON,W8 6ND,10,15,20,-0.20055800000000,51.49879100000000
Avondale Park Primary School,853757,School/college/university,2016-03-07,5,Sirdar Road,LONDON,W11 4EE,5,5,5,-0.21381000000000,51.51066500000000
Awesome 5,609412,Retailers - other,2015-10-26,1,264 Kensington High Street,LONDON,W8 6ND,5,10,20,-0.20055800000000,51.49879100000000
Azteca,333705,Pub/bar/nightclub,2016-06-28,5,329 King's Road,LONDON,SW3 5ES,0,0,0,-0.17653700000000,51.48372600000000
Bacchus Lounge,653953,Restaurant/Cafe/Canteen,2016-02-29,3,154 Fulham Road,LONDON,,10,10,10,-0.18019200000000,51.48672400000000
Bagel Bakery Bar,899255,Manufacturers/packers,2016-07-28,5,Ground Floor,236D Fulham Road,"LONDON,",0,5,5,-0.18225900000000,51.48545200000000
Baglioni Hotel,333933,Restaurant/Cafe/Canteen,2016-04-15,5,60 Hyde Park Gate,LONDON,SW7 5BB,5,5,5,-0.18473300000000,51.50147800000000
Bahar Patisserie,334437,Retailers - other,2015-01-05,3,Shop,349 Kensington High Street,"LONDON, W8 6NW",10,10,10,-0.20306100000000,51.49743500000000
Baker & Spice,333866,Restaurant/Cafe/Canteen,2016-04-25,5,47 Denyer Street,LONDON,SW3 2LX,5,5,5,-0.16472100000000,51.49392800000000
Balance Oriental Health Clinic,333844,Retailers - other,2014-06-17,5,33 Old Brompton Road,LONDON,SW7 3HZ,5,0,5,-0.17413500000000,51.49340000000000
Balans,568953,Restaurant/Cafe/Canteen,2015-03-03,5,187 Kensington High Street,LONDON,W8 6SH,5,5,0,-0.19522500000000,51.49995000000000
Bandol,768662,Restaurant/Cafe/Canteen,2015-11-10,5,6 Hollywood Road,LONDON,,5,5,5,-0.18461400000000,51.48599200000000
Bar Japan,334295,Restaurant/Cafe/Canteen,2015-12-02,4,Restaurant,251 Old Brompton Road,"LONDON, SW5 9HP",5,10,5,-0.19069700000000,51.48914300000000
Baristas Fusion,695817,Restaurant/Cafe/Canteen,2016-07-07,3,72 Lancaster Road,LONDON,W11 1QR,5,10,10,-0.20529500000000,51.51795400000000
Barlby Road Primary School,853756,School/college/university,2016-02-24,5,Barlby Primary School,Barlby Road,"LONDON, W10 6BH",0,5,0,-0.21650000000000,51.52333200000000
barrys food and veg,746273,Retailers - other,2015-03-31,4,77 Barlby Road,LONDON,W10 6AW,5,10,5,-0.22229200000000,51.52230400000000
Barts,756208,Pub/bar/nightclub,2015-11-03,5,Ground Floor Rear and First Floor,Chelsea Cloisters,"Sloane Avenue, LONDON, SW3 3EL",5,5,5,-0.16744800000000,51.49237000000000
Barts London Ltd,333881,Restaurant/Cafe/Canteen,2015-07-08,4,Residents Bar Chelsea Cloisters,Sloane Avenue,"LONDON, SW3 3DW",5,10,5,-0.16744800000000,51.49237000000000
Bassett House School,334869,School/college/university,2015-11-11,5,60 Bassett Road,LONDON,W10 6JP,5,0,5,-0.21761900000000,51.51829500000000
Bateel International UK Limited,334209,Retailers - other,2016-02-22,5,Harrods,87-135 Brompton Road,"LONDON,",0,0,0,-0.16305300000000,51.49960300000000
Baywood Chemist,499790,Retailers - other,2013-01-04,Exempt,Ground Floor,239 Westbourne Grove,"LONDON, W11 2SE",,,,-0.20038300000000,51.51422800000000
Beach Blanket Babylon,333721,Pub/bar/nightclub,2016-06-09,4,45 Ledbury Road,LONDON,W11 2AA,,,,-0.19928200000000,51.51400400000000
Beaufort House,334057,Pub/bar/nightclub,2016-02-10,5,354 King's Road,LONDON,SW3 5UZ,0,0,0,-0.17673400000000,51.48420600000000
Beaver Hotel,334616,Hotel/bed & breakfast/guest house,2016-01-18,4,57-59 Philbeach Gardens,LONDON,SW5 9ED,5,0,10,-0.20039800000000,51.49152200000000
Beaver Lodge,785664,Other catering premises,2015-09-04,5,Basement,266-266A Fulham Road,"LONDON,",0,0,0,-0.18409500000000,51.48456300000000
Beirut Express II,333633,Restaurant/Cafe/Canteen,2015-10-12,4,65 Old Brompton Road,LONDON,SW7 3JS,10,5,5,-0.17615000000000,51.49272100000000
Beiteddine,334428,Restaurant/Cafe/Canteen,2015-04-08,3,8 Harriet Street,LONDON,,10,10,10,-0.15928600000000,51.50011100000000
Bella Italia,334442,Restaurant/Cafe/Canteen,2015-06-24,4,60 Old Brompton Road,LONDON,SW7 3DY,5,10,5,-0.17648900000000,51.49323900000000
Bellavista Ristorante,334695,Restaurant/Cafe/Canteen,2015-06-24,3,132 Cromwell Road,LONDON,SW7 4HA,10,10,10,,
Belvedere Restaurant,526118,Restaurant/Cafe/Canteen,2015-08-11,5,Restaurant,Holland Park,"LONDON, W8 6LU",5,5,5,-0.20362300000000,51.50147200000000
Benihana Restaurant,334802,Restaurant/Cafe/Canteen,2016-01-19,2,Basement Atlantic Court,77 King's Road,"LONDON, SW3 4NX",10,15,10,-0.16425800000000,51.48896600000000
Ben's Cookies,333650,Restaurant/Cafe/Canteen,2015-11-03,5,9 Pelham Street,LONDON,SW7 2ND,5,5,5,-0.17438000000000,51.49410600000000
Ben's Cookies,446315,Takeaway/sandwich shop,2015-08-11,5,Unit 12 Kensington Arcade,123 Kensington High Street,"LONDON, W8 5SF",0,0,5,-0.19251400000000,51.50075300000000
Benugo,333856,Restaurant/Cafe/Canteen,2015-12-07,5,Natural History Museum,Cromwell Road,"LONDON, SW7 5BD",0,0,0,-0.17690400000000,51.49657300000000
Benugo (Catering at V&A),334937,Restaurant/Cafe/Canteen,2015-02-13,5,Museum,Victoria and Albert,"Cromwell Road, LONDON, SW7 2RL",0,5,0,-0.17254300000000,51.49682900000000
Benugo Limited @ Science Museum,516850,Restaurant/Cafe/Canteen,2015-06-17,5,Museum,Science,"Exhibition Road, LONDON, SW7 2DD",0,0,0,-0.17651400000000,51.49730400000000
Berry's News & Wines,439610,Retailers - other,2015-08-25,1,46B Gloucester Road,LONDON,SW7 4QT,10,5,20,-0.18406300000000,51.49805100000000
Best One,334473,Retailers - other,2015-04-20,4,216-218 Earl's Court Road,LONDON,SW5 9QB,5,10,5,-0.19365900000000,51.49219200000000
Best Western Burns Hotel,334503,Hotel/bed & breakfast/guest house,2016-04-07,4,18-26 Barkston Gardens,LONDON,SW5 0EN,10,5,5,-0.19121000000000,51.49255000000000
Best Western The Cromwell Hotel,333675,Hotel/bed & breakfast/guest house,2015-12-21,5,110-112 Cromwell Road,LONDON,SW7 4ES,5,5,5,-0.18541200000000,51.49526600000000
Better Coffee Corner,771153,Restaurant/Cafe/Canteen,2015-07-15,5,1 Silchester Road,LONDON,W10 6EX,0,0,5,,
Better Price,640132,Retailers - other,2016-02-24,4,493 King's Road,LONDON,,5,10,5,-0.18349100000000,51.48092100000000
Bevington School,334608,School/college/university,2015-09-28,5,Bevington Primary School,Bevington Road,"LONDON, W10 5TW",0,5,5,-0.20881200000000,51.52125400000000
Beyond London,837777,Restaurant/Cafe/Canteen,2015-12-30,4,Basement,1 Kensington High Street,"LONDON, W8 5NP",5,5,10,-0.18829800000000,51.50205500000000
Bibendum,333464,Restaurant/Cafe/Canteen,2016-07-21,2,Michelin House,81 Fulham Road,"LONDON, SW3 6RD",15,10,10,-0.16845500000000,51.49312300000000
Big Easy,333901,Restaurant/Cafe/Canteen,2015-03-24,5,Basement And Ground Floor,332-334 King's Road,"LONDON, SW3 5UR",0,5,0,-0.17457100000000,51.48535000000000
Bill's,640113,Retailers - other,2015-08-11,4,45 Mary Place,LONDON,W11 4PL,5,5,10,-0.21373200000000,51.51117700000000
Bill's Restaurant,586634,Restaurant/Cafe/Canteen,2015-09-24,5,Unit 10,Kensington Arcade,"123 Kensington High Street, LONDON, W8 5SF",5,0,5,-0.19251400000000,51.50075300000000
Billy's BBQ Shack,850665,Restaurant/Cafe/Canteen,2016-03-29,4,254-260 Old Brompton Road,LONDON,SW5 9HR,5,5,10,-0.19225700000000,51.48902300000000
Billy's Steak and Grillhouse,859484,Restaurant/Cafe/Canteen,2016-05-18,4,115 Notting Hill Gate,LONDON,W11 3LB,5,5,10,-0.19892200000000,51.50849500000000
Biscuiteer Baking Company Ltd,579428,Retailers - other,2015-03-11,4,194 Kensington Park Road,LONDON,W11 2ES,5,0,10,-0.20559400000000,51.51547700000000
Bistro Benito,334686,Restaurant/Cafe/Canteen,2014-12-02,4,Ground Floor,166 Earl's Court Road,"LONDON, SW5 9QQ",5,0,10,-0.19515700000000,51.49365400000000
Black and Blue,334519,Restaurant/Cafe/Canteen,2016-07-14,5,215-217 Kensington Church Street,LONDON,W8 7LX,5,5,0,-0.19538000000000,51.50842300000000
Blackbird,334720,Pub/bar/nightclub,2014-10-27,5,Public House,209-211 Earl's Court Road,"LONDON, SW5 9AN",5,5,5,-0.19224100000000,51.49198100000000
Blag Club,668397,Restaurant/Cafe/Canteen,2013-09-24,5,Basement,11 Russell Gardens,"LONDON, W14 8EZ",5,5,5,-0.21122800000000,51.50005100000000
Blakes Hotel,334621,Hotel/bed & breakfast/guest house,2015-03-16,4,33-39 Roland Gardens,LONDON,SW7 3PF,5,10,5,-0.18066800000000,51.48958100000000
Blanche Eatery,334316,Restaurant/Cafe/Canteen,2015-08-03,5,32B Kensington Church Street,LONDON,W8 4HA,5,5,5,-0.19183700000000,51.50400700000000
Blanche Eatery Limited,722293,Other catering premises,2016-07-01,3,237 Portobello Road,LONDON,W11 1LT,10,5,10,,
Blanco & Gomez Wine Merchants,537072,Retailers - other,2013-06-10,Exempt,410 King's Road,LONDON,,,,,-0.17737200000000,51.48339800000000
Blend,746265,Restaurant/Cafe/Canteen,2015-03-24,5,190-192 Westbourne Grove,LONDON,W11 2RH,0,0,0,-0.20047100000000,51.51454400000000
Bliss Pharmacy,759143,Retailers - other,2014-11-13,Exempt,107-109 Gloucester Road,LONDON,SW7 4SS,,,,-0.18212500000000,51.49424400000000
Bliss Spa,333419,Restaurant/Cafe/Canteen,2009-03-16,5,60D Sloane Avenue,LONDON,SW3 3DD,5,0,5,-0.16697900000000,51.49294700000000
Bluebelles,719644,Restaurant/Cafe/Canteen,2016-05-16,4,Ground Floor,320 Portobello Road,"LONDON, W10 5RU",5,0,10,-0.21003100000000,51.52141700000000
Bluebird Chelsea,335002,Restaurant/Cafe/Canteen,2015-12-01,5,350 King's Road,LONDON,SW3 5UU,5,5,5,-0.17572400000000,51.48499000000000
Bo Lang,586642,Restaurant/Cafe/Canteen,2016-06-01,3,Basement And Ground Floor,100 Draycott Avenue,"LONDON, SW3 3AD",10,10,10,-0.16724100000000,51.49358100000000
Bodo's Scholoss,542951,Restaurant/Cafe/Canteen,2016-02-10,5,Alpine Lodge,2A Kensington High Street,"LONDON, W8 4PT",0,5,0,-0.18811900000000,51.50294200000000
Bodyism London - Clean And Lean Cafe,815008,Restaurant/Cafe/Canteen,2015-12-15,5,222-224 Westbourne Grove,#Error,NDON,5,0,5,,
Boltons Hotel (Best Western),843819,Hotel/bed & breakfast/guest house,2016-01-19,4,Hotel,19-21 Penywern Road,"LONDON, SW5 9TT",5,5,10,-0.19304800000000,51.49088800000000
Bombay Brasserie,334655,Restaurant/Cafe/Canteen,2015-11-03,5,Courtfield Close,Courtfield Road,"London, SW7 4QH",5,5,0,-0.18268600000000,51.49392900000000
Bon Apetit (Sat Only),333547,Takeaway/sandwich shop,2016-06-09,5,82C Portobello Road,LONDON,W11 2QD,,,,-0.20175300000000,51.51272900000000
Bonanza Food & Wine,439616,Retailers - other,2015-04-24,3,7-11 South Kensington Station Arcade,LONDON,SW7 2NA,10,5,10,-0.17409100000000,51.49413700000000
Bone Daddies,716737,Restaurant/Cafe/Canteen,2016-07-25,4,First Floor Store,Barkers Arcade,"63-97 Kensington High Street, LONDON, W8 5SF",10,5,5,-0.19251400000000,51.50075300000000
Book & Kitchen,734286,Restaurant/Cafe/Canteen,2016-04-20,4,Ground Floor,31 All Saints Road,"LONDON, W11 1HE",0,5,10,-0.20435500000000,51.51839800000000
Books for Cooks,334960,Other catering premises,2015-05-21,5,Ground Floor,4 Blenheim Crescent,"LONDON, W11 1NN",0,5,5,-0.20560500000000,51.51592700000000
Boom Burgers,619098,Restaurant/Cafe/Canteen,2016-03-22,3,Shop,272 Portobello Road,"LONDON, W10 5TY",10,5,10,-0.20719800000000,51.51903500000000
Boost Juice Bars,623630,Restaurant/Cafe/Canteen,2015-09-24,4,Kensington Arcade,123 Kensington High Street,"LONDON, W8 5SF",5,10,5,-0.19251400000000,51.50075300000000
Boots,334464,Retailers - other,2014-02-27,5,127A-127B Kensington High Street,LONDON,W8 5SF,0,5,0,-0.19251400000000,51.50075300000000
Boots,668436,Retailers - other,2015-03-10,5,96-98 Notting Hill Gate,LONDON,W11 3QA,0,5,0,-0.19784400000000,51.50916200000000
Boots,668445,Retailers - other,2014-11-10,5,Unit 30 To 31 Gloucester Road Arcade,128 Gloucester Road,"LONDON, SW7 4SF",0,0,0,-0.18355500000000,51.49450900000000
Boots The Chemist,333513,Retailers - other,2009-11-25,5,148 King's Road,LONDON,SW3 4UT,5,0,0,-0.16549100000000,51.48911100000000
Boots the Chemist,568952,Retailers - other,2015-06-19,5,228-230 Fulham Road,LONDON,,5,5,0,-0.18225900000000,51.48545200000000
Boots the Chemist,766571,Retailers - other,2015-06-15,5,Chelsea And Westminster Hospital,369 Fulham Road,"LONDON,",0,0,0,-0.18147000000000,51.48427000000000
Boots The Chemist,640133,Retailers - other,2014-02-17,5,Ground Floor,254-260 Earl's Court Road,"LONDON, SW5 9AD",0,5,0,-0.19282600000000,51.49175600000000
Boots The Chemist,510439,Retailers - other,2016-02-25,5,Ground Floor,205 Brompton Road,"LONDON, SW3 1LA",0,5,0,-0.16682500000000,51.49750400000000
Boots The Chemists,334493,Retailers - other,2013-03-27,5,60-62 King's Road,LONDON,SW3 4UD,0,5,0,-0.16026100000000,51.49163700000000
Borgo Vaseppi,859466,Other catering premises,2016-03-16,5,,,,5,5,5,,
Borshtch N Tears,756201,Restaurant/Cafe/Canteen,2015-03-30,4,46 Beauchamp Place,LONDON,SW3 1NX,5,5,10,-0.16486800000000,51.49742800000000
Bosphorous Kebabs,334457,Takeaway/sandwich shop,2015-11-16,3,59 Old Brompton Road,LONDON,SW7 3JS,10,10,10,-0.17615000000000,51.49272100000000
Bottega Friulana,800801,Restaurant/Cafe/Canteen,2015-11-04,5,140 Portobello Road,LONDON,W11 2DZ,5,5,5,-0.20419800000000,51.51469100000000
Bowden Court Hostel,334673,Hotel/bed & breakfast/guest house,2015-01-26,5,Bowden Court,24 Ladbroke Road,"LONDON, W11 3NN",5,5,0,-0.20114100000000,51.50959900000000
Boy's Cafe,334711,Restaurant/Cafe/Canteen,2015-04-21,3,615 Harrow Road,LONDON,W10 4RA,10,10,10,-0.21682200000000,51.52802200000000
Bramley's Big Adventure,334826,Restaurant/Cafe/Canteen,2016-06-21,4,136-142 Bramley Road,LONDON,W10 6SR,0,5,10,-0.21676300000000,51.51623200000000
Brasserie Gustave,668414,Restaurant/Cafe/Canteen,2014-08-14,5,4 Sydney Street,LONDON,SW3 6PP,5,5,0,-0.17141500000000,51.49117300000000
Breakfast Club,333799,Hospitals/Childcare/Caring Premises,2016-06-22,3,Barlby Primary School,Barlby Road,"LONDON, W10 6BH",10,5,10,-0.21650000000000,51.52333200000000
BRGR Co,576891,Restaurant/Cafe/Canteen,2014-12-15,5,127 King's Road,LONDON,SW3 4PW,5,5,0,-0.16643500000000,51.48819000000000
"Brinkleys,The Wine Gallery & The Wine Shop",333432,Restaurant/Cafe/Canteen,2016-07-28,4,47-51 Hollywood Road,LONDON,,0,10,5,-0.18432900000000,51.48628400000000
Brompton Food Market,657543,Restaurant/Cafe/Canteen,2016-04-14,5,Basement And Ground Floor,33 Thurloe Place,"LONDON, SW7 2HQ",0,0,5,-0.17403700000000,51.49476600000000
Brown and Rosie,905458,Restaurant/Cafe/Canteen,,AwaitingInspection,10-12 Exhibition Road,#Error,NDON,,,,,
Brownie Box,334225,Restaurant/Cafe/Canteen,2016-04-11,2,247 Old Brompton Road,LONDON,SW5 9HP,10,15,10,-0.19069700000000,51.48914300000000
